name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,avg_return,return_volatility,cumulative_return,start_date,end_date,sp500_cumulative_return,normalized_return
Virginia Foxx,0.34092394,-0.14259712,0.009721893,-0.042032156,-0.073657684,-0.127018,0.3054874,-0.25723156,-0.382202,-0.014019988,0.04910061,-0.266261,-0.047934037,-0.19356926,-0.15208612,0.35637236,-0.003930231,-0.1136616,-0.024088226,0.025998153,-0.06876709,0.23896725,0.3276156,-0.1823772,0.31643313,0.13143864,0.04172672,-0.14857258,-0.20176235,-0.032654077,-0.04410865,0.14481889,-0.06562243,0.053438414,0.13884166,-0.061267674,-0.08852438,-0.09177823,0.22793582,-0.15585953,-0.083114795,-0.23620588,0.41958836,-0.10542513,-0.22117098,0.17419071,0.22965609,0.043435838,0.2678794,0.22186317,-0.02138416,0.22173542,0.3851689,0.13705346,0.18734205,0.123435095,0.056170635,-0.36780798,-0.2209672,0.44288662,-0.10194609,-0.3905428,0.028083066,0.16689152,-0.00016975164401266378,0.01604888551724971,-0.1279927395855485,2019-12-09 00:00:00,2021-12-31 00:00:00,0.4841267597435339,-0.6121194993290824
Alan S. Lowenthal,0.022824733,-0.08988935,0.34239295,0.23312265,0.09365074,-0.19682837,-0.044666067,-0.06773257,-0.23007789,-0.25109127,0.12119684,-0.24434741,-0.32420808,-0.07062132,0.13194793,-0.053351067,-0.08428534,0.04177573,0.07212398,0.06748055,0.23145224,0.1777233,0.17998804,-0.069784194,0.043557286,0.18745819,-0.099851936,-0.23967157,-0.0959941,-0.102139875,-0.009793883,0.16219997,0.16650711,-0.0802987,-0.21307054,-0.047131278,0.18993759,0.017409077,-0.117373556,0.15142405,0.0010266695,-0.14784025,0.0137241995,-0.04681477,0.25527713,-0.17801246,-0.05108939,-0.09101835,0.029313926,0.15268213,0.16412294,0.05439011,0.35745713,0.2593484,0.031362686,-0.3046166,0.13309367,-0.11241628,-0.17254733,0.085210204,-0.11084329,-0.216811,0.07327049,0.04605238,0.00038650301793111553,0.009677378290747565,0.29065026948419886,2019-12-11 00:00:00,2021-12-31 00:00:00,0.4883865152334289,-0.19773624574923004
Aston Donald McEachin,0.119005755,-0.40551803,-0.2665919,-0.03163092,0.09357934,0.19544764,0.020129122,-0.23546045,-0.33747184,-0.5668611,-0.15004839,-0.1951132,-0.65696216,-0.18667696,-0.074052304,0.6927762,0.15344594,-0.09116621,0.5615966,-0.04306482,0.42344013,-0.043109097,-0.12101839,0.18017726,-0.23613559,0.064105764,-0.11205464,-0.50350994,-0.15149459,-0.4051494,-0.39750463,0.29469994,-0.3079562,0.0820672,-0.105336964,0.13394229,0.16364455,-0.5552902,-0.31246015,0.35128573,-0.23491347,-0.21093254,0.4349435,0.45516816,-0.11098729,0.22719593,-0.15305859,-0.6842644,0.4890756,0.20259774,-0.098137304,-0.26617453,0.15626363,0.72802913,0.117642626,-0.21345022,0.28656125,-0.7303434,-0.09973833,-0.21889403,-0.001718404,-0.077109694,0.07419367,-0.043308493,0.0013868152368697105,0.015489203493578787,0.05408579423791871,2021-11-23 00:00:00,2021-12-31 00:00:00,0.019406003826952803,0.03467979041096591
Austin Scott,-0.47908825,-0.20197797,0.18662892,-0.12515157,0.044449564,0.10938475,0.17760946,0.2883097,-0.096334465,-0.17350808,0.11671712,-0.2391186,-0.55318594,-0.1451968,0.047145966,0.039580993,-0.07334225,0.07436339,-0.19231738,0.0941331,0.09394924,0.5234969,-0.068317614,-0.4115026,-0.27241176,0.02527661,-0.07088966,-0.035831243,-0.085588485,0.30543682,-0.4045598,-0.38122234,0.24621376,-0.03299235,0.24159653,0.04768312,-0.051412273,-0.22618516,0.44311708,-0.24758337,-0.16781321,0.091429785,0.27390248,-0.14564301,0.61687934,0.010308029,-0.40087235,-0.1371016,0.29083577,-0.18845326,-0.24571395,0.020939525,0.22790639,0.17994937,0.40166458,-0.12632664,-0.0014123021,-0.07037211,0.14509678,0.51604354,0.017702177,0.0802044,0.42367876,-0.21323965,-0.0010835274241363503,0.022363354199540143,-0.5786036444888111,2020-07-16 00:00:00,2021-12-31 00:00:00,0.4053786915676795,-0.9839823360564905
Thomas Suozzi,-0.17032503,-0.02423535,0.007230225,0.33080667,-0.067920335,-0.26791996,-0.0030225958,0.039607473,-0.29452053,0.10127237,-0.16166702,-0.25281844,-0.10259084,-0.37093827,0.10179845,0.16898882,0.12514503,-0.05248701,0.06739555,-0.21122308,-0.16350411,0.3235388,0.18448822,-0.19485682,-0.068493456,-0.30567342,-0.16960746,-0.18097958,0.039526325,0.04157491,-0.14025128,-0.020039449,0.07415945,-0.19449371,-0.16673961,-0.13495001,0.1851518,-0.46398944,0.10466637,-0.08572527,-0.35065868,0.13510618,0.060055386,-0.38126895,0.30197433,0.031258795,0.06736864,-0.37782875,-0.1674382,0.3510572,-0.019811152,-0.1485243,0.0858091,0.16619532,0.17602876,-0.23781635,0.013056633,0.015406753,0.2561177,0.4263171,0.34176293,0.090303764,-0.21267612,-0.2802494,0.00038784664260328635,0.014780075556296903,0.6124098486705891,2017-09-05 00:00:00,2021-12-31 00:00:00,0.7461417193402489,-0.13373187066965975
Susie Lee,0.09166679,-0.33368954,-0.056973863,0.15291287,-0.33672726,0.054067798,0.0961857,-0.1244894,-0.3743634,-0.47985464,0.05878078,-0.41531917,-0.1637663,0.036636163,-0.036079176,0.22079562,-0.023263337,-0.29807916,0.21530412,0.6909778,0.0069856006,-0.0071548223,0.11075186,-0.08768675,-0.0850101,0.049612887,-0.21508597,-0.015533401,-0.22620815,-0.17426805,-0.0709869,0.07253607,0.45384726,0.040710006,-0.04211002,0.09186499,0.172411,-0.15430257,0.32305777,0.07555847,0.0059072324,0.059272494,0.3097636,-0.10042628,0.006826914,-0.0024597899,-0.2725534,-0.13680173,-0.08317636,0.24399798,0.044130392,0.2612106,-0.091801435,0.2812611,0.2969711,-0.3055564,0.23914635,-0.086256005,0.038183935,0.039121266,0.2307768,0.070375495,0.022573026,0.2534727,-0.0007298214866660698,0.01610372620101339,-0.5298503993195667,2020-01-06 00:00:00,2021-12-31 00:00:00,0.45605872109347945,-0.9859091204130461
Mo Brooks,0.100266896,-0.16923156,0.03781263,-0.018505845,-0.03693507,0.051286057,0.12947728,0.19646707,-0.3235394,-0.2988293,0.16026098,-0.14536017,-0.24231553,-0.18594791,0.12729181,0.14982595,-0.21105674,0.17325959,0.042984933,0.28341806,-0.16132803,0.1732247,0.24424015,-0.015852187,-0.015517935,-0.08295528,-0.1371214,-0.028427888,0.040977456,-0.16305484,0.07114355,0.2515046,0.16050674,-0.078338824,-0.16540742,-0.30886447,-0.0039397334,0.27456474,-0.12465278,-0.02818321,0.05331026,0.0048419996,0.28420782,-0.46634826,0.11693946,0.17604138,-0.038954865,0.050788093,0.019497495,0.15586498,0.06404451,-0.1557738,0.100514434,0.05427373,0.023917729,-0.1719395,0.1808536,-0.4013829,-0.31337258,0.4988486,0.09193828,0.25931084,-0.026800072,0.042469334,0.00027599109195306035,0.012421509748321147,0.18077416522925455,2020-03-17 00:00:00,2021-12-31 00:00:00,0.7322313089251671,-0.5514571436959126
Robert J. Wittman,0.0339179,-0.6045159,0.12693062,0.11302477,0.43361583,-0.029154582,0.31483504,0.121052,-0.56171495,-0.20703007,0.17602396,-0.12760672,-0.4937344,0.29669732,-0.26390007,0.19925806,0.036234803,-0.029137384,-0.18059465,-0.07689572,-0.011751541,0.33590266,0.19415122,-0.14057097,-0.15825237,-0.4096276,-0.060640447,-0.046719197,-0.26528803,0.025919888,0.09898719,-0.28080726,-0.01839369,0.115313634,0.094220385,-0.054157168,-0.2464525,0.07895512,0.018949,-0.14633334,-0.38600037,0.014552992,0.24236722,-0.05264661,0.42468333,-0.15158606,-0.30439138,0.080660746,0.04220119,0.121416986,0.17399226,0.0018232067,0.42549008,0.21496889,-0.033659242,0.104244515,0.035006076,0.016529918,0.27393323,0.0587822,-0.19358683,-0.2202362,0.067209065,-0.3083272,0.00018208307670973376,0.013221403013018933,0.13146398138442777,2020-01-10 00:00:00,2021-12-31 00:00:00,0.4437708728811815,-0.3123068914967537
Lois Frankel,-0.0507514,-0.24242747,-0.314815,0.15920623,0.22407061,-0.0657466,-0.017866803,0.028446328,-0.16017626,-0.38384217,-0.10348649,-0.00033532392,-0.52789736,-0.04612776,0.08800724,0.44819364,0.12685402,-0.08126524,0.149905,0.20031847,0.24701045,0.14829957,0.092948966,-0.005644505,0.03260459,-0.09739082,-0.46016142,-0.047144394,0.16302265,-0.19771515,-0.54320544,0.20253436,0.09399389,-0.21076605,-0.14757527,-0.14060561,-0.22385079,-0.27904034,-0.073870175,-0.13773061,-0.053301662,-0.24376185,0.1664698,0.0055941637,-0.1769119,-0.3250715,-0.057831276,0.10083595,0.5563352,0.353051,0.12350034,0.21241313,0.33140376,0.05798501,0.20617494,0.04910928,0.1387983,-0.22052677,-0.19257636,0.018109156,0.1436708,-0.08409913,0.08686506,-0.17890029,6.203136027944057e-05,0.015526395316291125,0.04627539476846267,2019-12-17 00:00:00,2021-12-31 00:00:00,0.4696827643540485,-0.42340736958558584
Michael T. McCaul,0.028247336,-0.1009173,-0.051197708,0.12534356,-0.0005242913,0.004899387,0.0491964,-0.0724234,-0.32106006,-0.1531917,0.22325711,-0.2965024,-0.30044124,-0.124875,0.07662157,0.15944962,-0.08587647,0.033906873,-0.04853492,-0.053108398,0.17794867,0.205615,0.1142065,-0.14630362,-0.079143,0.29906452,-0.030109676,-0.037207462,-0.20159616,0.0675966,0.05064178,0.16891712,-0.03962458,-0.068887256,-0.017445248,-0.12753014,0.332517,-0.052387632,-0.061948124,-0.057454534,0.14430296,-0.11618583,0.015290508,-0.3084679,0.009097345,-0.2816351,-0.15464117,-0.087752536,-0.04990859,0.13677767,0.1965193,0.021082276,0.17228504,0.3077112,-0.014152869,-0.024155855,0.27856278,-0.04948414,-0.25721437,0.34237742,-0.054636814,-0.15357211,-0.039912704,0.07276666,0.001261728535213759,0.01035887780861528,0.5412815416067026,2020-10-29 00:00:00,2021-12-31 00:00:00,0.386825384843535,0.1544561567631676
